name	default	mididev	midictl	global	smooth	label
post_bloom_amount	0	codev2	s9	1	1	bloom
post_bloom_distance	0	codev2	s13	1	1	bloom distance
post_bypass	0			1		post bypass
post_echo_length	0.1	codev2	s1	1	1	echo length
post_echo_mix	0	codev2	s5	1	1	echo mix
post_contrast	0			1	1	contrast
post_saturation	.8			1	1	saturation
time_rate	.5	codev2	s4			time rate
cam_fovamount	.5	codev2	s6		1	cam fov amount
unit_opacity	.6	codev2	s21		1	unit opacity
unit_wireopacity	.4	codev2	s17		1	unit wire opacity
unit_group1opacity	.8				1	unit group 1 opacity
unit_group2opacity	.8				1	unit group 2 opacity
unit_scale	.5	codev2	s14		1	unit scale
unit_scalevariation	0	codev2	s10		1	unit scale variation
mod_rate	.3	codev2	s27		1	modifier rate
mod_scaleon	0					scale on
mod_rotateon	1					rotate on
mod_shuffleon	1					shuffle on
mod_groupboundary	.7	codev2	s32		1	group boundary
mod_posttwist	0	codev2	s28		1	post-twist
light_generallevel	.6	codev2	s22		1	general light level
light_innerlevel	.6	codev2	s18		1	inner light level
light_shiftrate	.5	codev2	s11			light shift rate
